num	premise	hypothesis	gold_label	template_num	time_format	time_span	category	aspect	cf
1	エルフ は 主流 を 占めて いる 。	エルフ は 現在 主流 を 占めて いる 。	entailment	1	None	None	現在（現在形）	継続主体変化	('占める', {'が': ['エルフ', 'ドワーフ', '戦士たち'], 'を': ['主流']}, '継続主体変化')
2	子供 たち は 繁華街 を 行進 して いる 。	子供 たち は 現在 繁華街 を 行進 して いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('行進する', {'が': ['子供たち'], 'を': ['繁華街']}, '状態/瞬間')
3	早々 に 彼 は 相手 の 先制 点 を 奪って いる 。	早々 に 彼 は 現在 相手 の 先制 点 を 奪って いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('奪う', {'が': ['早々に彼'], 'を': ['相手の先制点']}, '状態/瞬間')
4	太郎 は 顔 を 冷やして いる 。	太郎 は 現在 顔 を 冷やして いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('冷やす', {'が': ['太郎'], 'を': ['顔']}, '状態/瞬間')
5	ジョン は 資格 を 獲得 して いる 。	ジョン は 現在 資格 を 獲得 して いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('獲得する', {'が': ['ジョン'], 'を': ['資格']}, '状態/瞬間')
6	山田 さん は 教授 を 勤めて いる 。	山田 さん は 現在 教授 を 勤めて いる 。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('勤める', {'が': ['山田さん'], 'を': ['教授']}, '継続主体動作特定時点成立')
7	子供 は ミス を 見付けて いる 。	子供 は 現在 ミス を 見付けて いる 。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('見付ける', {'が': ['子供'], 'を': ['ミス']}, '継続主体動作特定時点成立')
8	彼 は サポート を 約束 して いる 。	彼 は 現在 サポート を 約束 して いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('約束する', {'が': ['彼'], 'を': ['サポート']}, '状態/瞬間')
9	太郎 は 彼 の 豊富な 経験 を 生かせて いる 。	太郎 は 現在 彼 の 豊富な 経験 を 生かせて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('生かせる', {'が': ['太郎'], 'を': ['彼の豊富な経験']}, '状態/瞬間')
10	パリ は 傾けて いる 。	パリ は 現在 傾けて いる 。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('傾ける', {'が': ['パリ', 'ニューヨーク', '東京']}, '継続主体動作特定時点成立')
11	東京 市 は 祝言 を 挙げて いる 。	東京 市 は 現在 祝言 を 挙げて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('挙げる', {'が': ['東京市'], 'を': ['祝言']}, '状態/瞬間')
12	山田 さん は ドア を ノック して いる 。	山田 さん は 現在 ドア を ノック して いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('ノックする', {'が': ['山田さん'], 'を': ['ドア']}, '状態/瞬間')
13	私 たち は 心 を 合わせて いる 。	私 たち は 現在 心 を 合わせて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('合わせる', {'が': ['私たち'], 'を': ['心']}, '状態/瞬間')
14	彼 は 前方 を 横切って いる 。	彼 は 現在 前方 を 横切って いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('横切る', {'が': ['彼'], 'を': ['前方']}, '状態/瞬間')
15	火 は 水 を 噴いて いる 。	火 は 現在 水 を 噴いて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('噴く', {'が': ['火'], 'を': ['水']}, '状態/瞬間')
16	彼 は 声 を 漏らして いる 。	彼 は 現在 声 を 漏らして いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('漏らす', {'が': ['彼'], 'を': ['声']}, '状態/瞬間')
17	犬 は 呼んで いる 。	犬 は 現在 呼んで いる 。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('呼ぶ', {'が': ['犬']}, '継続主体動作特定時点成立')
18	香り は 心 に 染みて いる 。	香り は 現在 心 に 染みて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('染みる', {'が': ['香り'], 'に': ['心']}, '状態/瞬間')
19	ホスト は 進行 役 を 努めて いる 。	ホスト は 現在 進行 役 を 努めて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('努める', {'が': ['ホスト'], 'を': ['進行役']}, '状態/瞬間')
20	父 は 子供 を 叱って いる 。	父 は 現在 子供 を 叱って いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('叱る', {'が': ['父'], 'を': ['子供']}, '状態/瞬間')
41	2001 年 以来 、 太郎 は 犯人 を 逮捕 して いる 。 現在 、 2008 年 である 。	太郎 は 2004 年 に は 犯人 を 逮捕 して いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('逮捕する', {'が': ['太郎'], 'を': ['犯人']}, '状態/瞬間')
42	2001 年 以来 、 子供 たち は ひまわり を 植えて いる 。 現在 、 2020 年 である 。	子供 たち は 2018 年 に は ひまわり を 植えて いた 。	entailment	3	年	random	以来（テイタ形）	継続主体動作特定時点成立	('植える', {'が': ['子供たち'], 'を': ['ひまわり']}, '継続主体動作特定時点成立')
43	2001 年 以来 、 田中 は 行動 を 考えて いる 。 現在 、 2019 年 である 。	田中 は 2013 年 に は 行動 を 考えて いた 。	entailment	3	年	random	以来（テイタ形）	継続主体動作特定時点成立	('考える', {'が': ['田中'], 'を': ['行動']}, '継続主体動作特定時点成立')
44	2000 年 以来 、 父 は 伴って いる 。 現在 、 2012 年 である 。	父 は 2004 年 に は 伴って いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('伴う', {'が': ['父', '母', '私']}, '状態/瞬間')
45	2004 年 以来 、 山田 さん は サッカー に 堪って いる 。 現在 、 2013 年 である 。	山田 さん は 2005 年 に は サッカー に 堪って いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('堪る', {'が': ['山田さん'], 'に': ['サッカー']}, '状態/瞬間')
46	2006 年 以来 、 彼 は 不安 を 煽って いる 。 現在 、 2016 年 である 。	彼 は 2014 年 に は 不安 を 煽って いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('煽る', {'が': ['彼'], 'を': ['不安']}, '状態/瞬間')
47	2005 年 以来 、 料理 人 は 野菜 を 調理 して いる 。 現在 、 2020 年 である 。	料理 人 は 2009 年 に は 野菜 を 調理 して いた 。	entailment	3	年	random	以来（テイタ形）	継続主体動作特定時点成立	('調理する', {'が': ['料理人'], 'を': ['野菜']}, '継続主体動作特定時点成立')
48	2006 年 以来 、 花子 は 頬 を 滑って いる 。 現在 、 2011 年 である 。	花子 は 2009 年 に は 頬 を 滑って いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('滑る', {'が': ['花子'], 'を': ['頬']}, '状態/瞬間')
49	2002 年 以来 、 私 は 友達 を 呼んで いる 。 現在 、 2018 年 である 。	私 は 2015 年 に は 友達 を 呼んで いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('呼ぶ', {'が': ['私'], 'を': ['友達']}, '状態/瞬間')
50	2001 年 以来 、 山田 さん は ロケット を 打ち上げて いる 。 現在 、 2014 年 である 。	山田 さん は 2011 年 に は ロケット を 打ち上げて いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('打ち上げる', {'が': ['山田さん'], 'を': ['ロケット']}, '状態/瞬間')
51	2002 年 以来 、 子供 は 手 を 差し伸べて いる 。 現在 、 2016 年 である 。	子供 は 2012 年 に は 手 を 差し伸べて いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('差し伸べる', {'が': ['子供'], 'を': ['手']}, '状態/瞬間')
52	2000 年 以来 、 市 議会 は 条例 案 を 否決 して いる 。 現在 、 2016 年 である 。	市 議会 は 2015 年 に は 条例 案 を 否決 して いた 。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('否決する', {'が': ['市議会'], 'を': ['条例案']}, '状態/瞬間')
