num	premise	hypothesis	gold_label	template_num	time_format	time_span	category	aspect	cf
1	エルフは主流を占めている。	エルフは現在主流を占めている。	entailment	1	None	None	現在（現在形）	継続主体変化	('占める', {'が': ['エルフ', 'ドワーフ', '戦士たち'], 'を': ['主流']}, '継続主体変化')
2	子供たちは繁華街を行進している。	子供たちは現在繁華街を行進している。	entailment	1	None	None	現在（現在形）	状態/瞬間	('行進する', {'が': ['子供たち'], 'を': ['繁華街']}, '状態/瞬間')
3	早々に彼は相手の先制点を奪っている。	早々に彼は現在相手の先制点を奪っている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('奪う', {'が': ['早々に彼'], 'を': ['相手の先制点']}, '状態/瞬間')
4	太郎は顔を冷やしている。	太郎は現在顔を冷やしている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('冷やす', {'が': ['太郎'], 'を': ['顔']}, '状態/瞬間')
5	ジョンは資格を獲得している。	ジョンは現在資格を獲得している。	entailment	1	None	None	現在（現在形）	状態/瞬間	('獲得する', {'が': ['ジョン'], 'を': ['資格']}, '状態/瞬間')
6	山田さんは教授を勤めている。	山田さんは現在教授を勤めている。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('勤める', {'が': ['山田さん'], 'を': ['教授']}, '継続主体動作特定時点成立')
7	子供はミスを見付けている。	子供は現在ミスを見付けている。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('見付ける', {'が': ['子供'], 'を': ['ミス']}, '継続主体動作特定時点成立')
8	彼はサポートを約束している。	彼は現在サポートを約束している。	entailment	1	None	None	現在（現在形）	状態/瞬間	('約束する', {'が': ['彼'], 'を': ['サポート']}, '状態/瞬間')
9	太郎は彼の豊富な経験を生かせている。	太郎は現在彼の豊富な経験を生かせている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('生かせる', {'が': ['太郎'], 'を': ['彼の豊富な経験']}, '状態/瞬間')
10	パリは傾けている。	パリは現在傾けている。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('傾ける', {'が': ['パリ', 'ニューヨーク', '東京']}, '継続主体動作特定時点成立')
11	東京市は祝言を挙げている。	東京市は現在祝言を挙げている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('挙げる', {'が': ['東京市'], 'を': ['祝言']}, '状態/瞬間')
12	山田さんはドアをノックしている。	山田さんは現在ドアをノックしている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('ノックする', {'が': ['山田さん'], 'を': ['ドア']}, '状態/瞬間')
13	私たちは心を合わせている。	私たちは現在心を合わせている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('合わせる', {'が': ['私たち'], 'を': ['心']}, '状態/瞬間')
14	彼は前方を横切っている。	彼は現在前方を横切っている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('横切る', {'が': ['彼'], 'を': ['前方']}, '状態/瞬間')
15	火は水を噴いている。	火は現在水を噴いている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('噴く', {'が': ['火'], 'を': ['水']}, '状態/瞬間')
16	彼は声を漏らしている。	彼は現在声を漏らしている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('漏らす', {'が': ['彼'], 'を': ['声']}, '状態/瞬間')
17	犬は呼んでいる。	犬は現在呼んでいる。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('呼ぶ', {'が': ['犬']}, '継続主体動作特定時点成立')
18	香りは心に染みている。	香りは現在心に染みている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('染みる', {'が': ['香り'], 'に': ['心']}, '状態/瞬間')
19	ホストは進行役を努めている。	ホストは現在進行役を努めている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('努める', {'が': ['ホスト'], 'を': ['進行役']}, '状態/瞬間')
20	父は子供を叱っている。	父は現在子供を叱っている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('叱る', {'が': ['父'], 'を': ['子供']}, '状態/瞬間')
41	2001年以来、太郎は犯人を逮捕している。現在、2008年である。	太郎は2004年には犯人を逮捕していた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('逮捕する', {'が': ['太郎'], 'を': ['犯人']}, '状態/瞬間')
42	2001年以来、子供たちはひまわりを植えている。現在、2020年である。	子供たちは2018年にはひまわりを植えていた。	entailment	3	年	random	以来（テイタ形）	継続主体動作特定時点成立	('植える', {'が': ['子供たち'], 'を': ['ひまわり']}, '継続主体動作特定時点成立')
43	2001年以来、田中は行動を考えている。現在、2019年である。	田中は2013年には行動を考えていた。	entailment	3	年	random	以来（テイタ形）	継続主体動作特定時点成立	('考える', {'が': ['田中'], 'を': ['行動']}, '継続主体動作特定時点成立')
44	2000年以来、父は伴っている。現在、2012年である。	父は2004年には伴っていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('伴う', {'が': ['父', '母', '私']}, '状態/瞬間')
45	2004年以来、山田さんはサッカーに堪っている。現在、2013年である。	山田さんは2005年にはサッカーに堪っていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('堪る', {'が': ['山田さん'], 'に': ['サッカー']}, '状態/瞬間')
46	2006年以来、彼は不安を煽っている。現在、2016年である。	彼は2014年には不安を煽っていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('煽る', {'が': ['彼'], 'を': ['不安']}, '状態/瞬間')
47	2005年以来、料理人は野菜を調理している。現在、2020年である。	料理人は2009年には野菜を調理していた。	entailment	3	年	random	以来（テイタ形）	継続主体動作特定時点成立	('調理する', {'が': ['料理人'], 'を': ['野菜']}, '継続主体動作特定時点成立')
48	2006年以来、花子は頬を滑っている。現在、2011年である。	花子は2009年には頬を滑っていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('滑る', {'が': ['花子'], 'を': ['頬']}, '状態/瞬間')
49	2002年以来、私は友達を呼んでいる。現在、2018年である。	私は2015年には友達を呼んでいた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('呼ぶ', {'が': ['私'], 'を': ['友達']}, '状態/瞬間')
50	2001年以来、山田さんはロケットを打ち上げている。現在、2014年である。	山田さんは2011年にはロケットを打ち上げていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('打ち上げる', {'が': ['山田さん'], 'を': ['ロケット']}, '状態/瞬間')
51	2002年以来、子供は手を差し伸べている。現在、2016年である。	子供は2012年には手を差し伸べていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('差し伸べる', {'が': ['子供'], 'を': ['手']}, '状態/瞬間')
52	2000年以来、市議会は条例案を否決している。現在、2016年である。	市議会は2015年には条例案を否決していた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('否決する', {'が': ['市議会'], 'を': ['条例案']}, '状態/瞬間')
53	2000年以来、結太は寝汗を掻いている。現在、2018年である。	結太は2004年には寝汗を掻いていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('掻く', {'が': ['結太'], 'を': ['寝汗']}, '状態/瞬間')
54	2004年以来、太郎は気に掛かっている。現在、2014年である。	太郎は2012年には気に掛かっていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('掛かる', {'が': ['太郎'], 'に': ['気']}, '状態/瞬間')
55	2004年以来、田中さんは元気を頂いている。現在、2019年である。	田中さんは2016年には元気を頂いていた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('頂く', {'が': ['田中さん'], 'を': ['元気']}, '状態/瞬間')
56	2002年以来、田中さんは温度を検出している。現在、2007年である。	田中さんは2004年には温度を検出していた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('検出する', {'が': ['田中さん'], 'を': ['温度']}, '状態/瞬間')
57	2004年以来、太郎は全身を包んでいる。現在、2019年である。	太郎は2018年には全身を包んでいた。	entailment	3	年	random	以来（テイタ形）	状態/瞬間	('包む', {'が': ['太郎', '花子'], 'を': ['全身']}, '状態/瞬間')
