num	premise	hypothesis	gold_label	template_num	time_format	time_span	category	aspect	cf
1	エルフは主流を占めている。	エルフは現在主流を占めている。	entailment	1	None	None	現在（現在形）	継続主体変化	('占める', {'が': ['エルフ', 'ドワーフ', '戦士たち'], 'を': ['主流']}, '継続主体変化')
2	子供たちは繁華街を行進している。	子供たちは現在繁華街を行進している。	entailment	1	None	None	現在（現在形）	状態/瞬間	('行進する', {'が': ['子供たち'], 'を': ['繁華街']}, '状態/瞬間')
3	早々に彼は相手の先制点を奪っている。	早々に彼は現在相手の先制点を奪っている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('奪う', {'が': ['早々に彼'], 'を': ['相手の先制点']}, '状態/瞬間')
4	太郎は顔を冷やしている。	太郎は現在顔を冷やしている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('冷やす', {'が': ['太郎'], 'を': ['顔']}, '状態/瞬間')
5	ジョンは資格を獲得している。	ジョンは現在資格を獲得している。	entailment	1	None	None	現在（現在形）	状態/瞬間	('獲得する', {'が': ['ジョン'], 'を': ['資格']}, '状態/瞬間')
6	山田さんは教授を勤めている。	山田さんは現在教授を勤めている。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('勤める', {'が': ['山田さん'], 'を': ['教授']}, '継続主体動作特定時点成立')
7	子供はミスを見付けている。	子供は現在ミスを見付けている。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('見付ける', {'が': ['子供'], 'を': ['ミス']}, '継続主体動作特定時点成立')
8	彼はサポートを約束している。	彼は現在サポートを約束している。	entailment	1	None	None	現在（現在形）	状態/瞬間	('約束する', {'が': ['彼'], 'を': ['サポート']}, '状態/瞬間')
9	太郎は彼の豊富な経験を生かせている。	太郎は現在彼の豊富な経験を生かせている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('生かせる', {'が': ['太郎'], 'を': ['彼の豊富な経験']}, '状態/瞬間')
10	パリは傾けている。	パリは現在傾けている。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('傾ける', {'が': ['パリ', 'ニューヨーク', '東京']}, '継続主体動作特定時点成立')
11	東京市は祝言を挙げている。	東京市は現在祝言を挙げている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('挙げる', {'が': ['東京市'], 'を': ['祝言']}, '状態/瞬間')
12	山田さんはドアをノックしている。	山田さんは現在ドアをノックしている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('ノックする', {'が': ['山田さん'], 'を': ['ドア']}, '状態/瞬間')
13	私たちは心を合わせている。	私たちは現在心を合わせている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('合わせる', {'が': ['私たち'], 'を': ['心']}, '状態/瞬間')
14	彼は前方を横切っている。	彼は現在前方を横切っている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('横切る', {'が': ['彼'], 'を': ['前方']}, '状態/瞬間')
15	火は水を噴いている。	火は現在水を噴いている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('噴く', {'が': ['火'], 'を': ['水']}, '状態/瞬間')
16	彼は声を漏らしている。	彼は現在声を漏らしている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('漏らす', {'が': ['彼'], 'を': ['声']}, '状態/瞬間')
17	犬は呼んでいる。	犬は現在呼んでいる。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('呼ぶ', {'が': ['犬']}, '継続主体動作特定時点成立')
18	香りは心に染みている。	香りは現在心に染みている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('染みる', {'が': ['香り'], 'に': ['心']}, '状態/瞬間')
19	ホストは進行役を努めている。	ホストは現在進行役を努めている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('努める', {'が': ['ホスト'], 'を': ['進行役']}, '状態/瞬間')
20	父は子供を叱っている。	父は現在子供を叱っている。	entailment	1	None	None	現在（現在形）	状態/瞬間	('叱る', {'が': ['父'], 'を': ['子供']}, '状態/瞬間')
21	友達はパソコンの使い方を伝授していた。	友達は現在パソコンの使い方を伝授している。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('伝授する', {'が': ['友達'], 'を': ['パソコンの使い方']}, '継続主体動作特定時点成立')
22	彼は私を愛していた。	彼は現在私を愛している。	neutral	2	None	None	現在（過去形）	状態/瞬間	('愛す', {'が': ['彼'], 'を': ['私']}, '状態/瞬間')
23	田中は場所を譲っていた。	田中は現在場所を譲っている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('譲る', {'が': ['田中'], 'を': ['場所']}, '状態/瞬間')
24	鈴木さんは代表を指名していた。	鈴木さんは現在代表を指名している。	neutral	2	None	None	現在（過去形）	状態/瞬間	('指名する', {'が': ['鈴木さん'], 'を': ['代表']}, '状態/瞬間')
25	シンジはホテルを見上げていた。	シンジは現在ホテルを見上げている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('見上げる', {'が': ['シンジ'], 'を': ['ホテル']}, '状態/瞬間')
26	獣は首を掴んでいた。	獣は現在首を掴んでいる。	neutral	2	None	None	現在（過去形）	状態/瞬間	('掴む', {'が': ['獣'], 'を': ['首']}, '状態/瞬間')
27	太郎は優勝を挙げていた。	太郎は現在優勝を挙げている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('挙げる', {'が': ['太郎'], 'を': ['優勝']}, '状態/瞬間')
28	ビルゲイツは環境保護の新たな方針を打ち出していた。	ビルゲイツは現在環境保護の新たな方針を打ち出している。	neutral	2	None	None	現在（過去形）	状態/瞬間	('打ち出す', {'が': ['ビルゲイツ'], 'を': ['環境保護の新たな方針']}, '状態/瞬間')
29	鈴木はバジルをベランダに植えていた。	鈴木は現在バジルをベランダに植えている。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('植える', {'が': ['鈴木'], 'に': ['ベランダ'], 'を': ['バジル']}, '継続主体動作特定時点成立')
30	演劇は幕開けを迎えていた。	演劇は現在幕開けを迎えている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('迎える', {'が': ['演劇'], 'を': ['幕開け']}, '状態/瞬間')
31	私は手紙を皆さんに差し上げていた。	私は現在手紙を皆さんに差し上げている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('差し上げる', {'が': ['私'], 'に': ['皆さん'], 'を': ['手紙']}, '状態/瞬間')
32	笑顔は咲いていた。	笑顔は現在咲いている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('咲く', {'が': ['笑顔', '友達', '花束']}, '状態/瞬間')
33	山田さんは小説を更新していた。	山田さんは現在小説を更新している。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('更新する', {'が': ['山田さん'], 'を': ['小説']}, '継続主体動作特定時点成立')
34	太郎は坂を上っていた。	太郎は現在坂を上っている。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('上る', {'が': ['太郎'], 'を': ['坂']}, '継続主体動作特定時点成立')
35	学生は修了証を受け取っていた。	学生は現在修了証を受け取っている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('受け取る', {'が': ['学生'], 'を': ['修了証']}, '状態/瞬間')
36	彼女は言い訳を考えていた。	彼女は現在言い訳を考えている。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('考える', {'が': ['彼女'], 'を': ['言い訳']}, '継続主体動作特定時点成立')
37	子供たちは生涯を終えていた。	子供たちは現在生涯を終えている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('終える', {'が': ['子供たち'], 'を': ['生涯']}, '状態/瞬間')
38	彼女は回復力を高めていた。	彼女は現在回復力を高めている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('高める', {'が': ['彼女'], 'を': ['回復力']}, '状態/瞬間')
39	彼は相手に遣っていた。	彼は現在相手に遣っている。	neutral	2	None	None	現在（過去形）	状態/瞬間	('遣う', {'が': ['彼'], 'に': ['相手']}, '状態/瞬間')
40	母は壺を押していた。	母は現在壺を押している。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('押す', {'が': ['母'], 'を': ['壺']}, '継続主体動作特定時点成立')
