num	premise	hypothesis	gold_label	template_num	time_format	time_span	category	aspect	cf
1	エルフ は 主流 を 占めて いる 。	エルフ は 現在 主流 を 占めて いる 。	entailment	1	None	None	現在（現在形）	継続主体変化	('占める', {'が': ['エルフ', 'ドワーフ', '戦士たち'], 'を': ['主流']}, '継続主体変化')
2	子供 たち は 繁華街 を 行進 して いる 。	子供 たち は 現在 繁華街 を 行進 して いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('行進する', {'が': ['子供たち'], 'を': ['繁華街']}, '状態/瞬間')
3	早々 に 彼 は 相手 の 先制 点 を 奪って いる 。	早々 に 彼 は 現在 相手 の 先制 点 を 奪って いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('奪う', {'が': ['早々に彼'], 'を': ['相手の先制点']}, '状態/瞬間')
4	太郎 は 顔 を 冷やして いる 。	太郎 は 現在 顔 を 冷やして いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('冷やす', {'が': ['太郎'], 'を': ['顔']}, '状態/瞬間')
5	ジョン は 資格 を 獲得 して いる 。	ジョン は 現在 資格 を 獲得 して いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('獲得する', {'が': ['ジョン'], 'を': ['資格']}, '状態/瞬間')
6	山田 さん は 教授 を 勤めて いる 。	山田 さん は 現在 教授 を 勤めて いる 。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('勤める', {'が': ['山田さん'], 'を': ['教授']}, '継続主体動作特定時点成立')
7	子供 は ミス を 見付けて いる 。	子供 は 現在 ミス を 見付けて いる 。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('見付ける', {'が': ['子供'], 'を': ['ミス']}, '継続主体動作特定時点成立')
8	彼 は サポート を 約束 して いる 。	彼 は 現在 サポート を 約束 して いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('約束する', {'が': ['彼'], 'を': ['サポート']}, '状態/瞬間')
9	太郎 は 彼 の 豊富な 経験 を 生かせて いる 。	太郎 は 現在 彼 の 豊富な 経験 を 生かせて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('生かせる', {'が': ['太郎'], 'を': ['彼の豊富な経験']}, '状態/瞬間')
10	パリ は 傾けて いる 。	パリ は 現在 傾けて いる 。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('傾ける', {'が': ['パリ', 'ニューヨーク', '東京']}, '継続主体動作特定時点成立')
11	東京 市 は 祝言 を 挙げて いる 。	東京 市 は 現在 祝言 を 挙げて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('挙げる', {'が': ['東京市'], 'を': ['祝言']}, '状態/瞬間')
12	山田 さん は ドア を ノック して いる 。	山田 さん は 現在 ドア を ノック して いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('ノックする', {'が': ['山田さん'], 'を': ['ドア']}, '状態/瞬間')
13	私 たち は 心 を 合わせて いる 。	私 たち は 現在 心 を 合わせて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('合わせる', {'が': ['私たち'], 'を': ['心']}, '状態/瞬間')
14	彼 は 前方 を 横切って いる 。	彼 は 現在 前方 を 横切って いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('横切る', {'が': ['彼'], 'を': ['前方']}, '状態/瞬間')
15	火 は 水 を 噴いて いる 。	火 は 現在 水 を 噴いて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('噴く', {'が': ['火'], 'を': ['水']}, '状態/瞬間')
16	彼 は 声 を 漏らして いる 。	彼 は 現在 声 を 漏らして いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('漏らす', {'が': ['彼'], 'を': ['声']}, '状態/瞬間')
17	犬 は 呼んで いる 。	犬 は 現在 呼んで いる 。	entailment	1	None	None	現在（現在形）	継続主体動作特定時点成立	('呼ぶ', {'が': ['犬']}, '継続主体動作特定時点成立')
18	香り は 心 に 染みて いる 。	香り は 現在 心 に 染みて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('染みる', {'が': ['香り'], 'に': ['心']}, '状態/瞬間')
19	ホスト は 進行 役 を 努めて いる 。	ホスト は 現在 進行 役 を 努めて いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('努める', {'が': ['ホスト'], 'を': ['進行役']}, '状態/瞬間')
20	父 は 子供 を 叱って いる 。	父 は 現在 子供 を 叱って いる 。	entailment	1	None	None	現在（現在形）	状態/瞬間	('叱る', {'が': ['父'], 'を': ['子供']}, '状態/瞬間')
21	友達 は パソコン の 使い 方 を 伝授 して いた 。	友達 は 現在 パソコン の 使い 方 を 伝授 して いる 。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('伝授する', {'が': ['友達'], 'を': ['パソコンの使い方']}, '継続主体動作特定時点成立')
22	彼 は 私 を 愛して いた 。	彼 は 現在 私 を 愛して いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('愛す', {'が': ['彼'], 'を': ['私']}, '状態/瞬間')
23	田中 は 場所 を 譲って いた 。	田中 は 現在 場所 を 譲って いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('譲る', {'が': ['田中'], 'を': ['場所']}, '状態/瞬間')
24	鈴木 さん は 代表 を 指名 して いた 。	鈴木 さん は 現在 代表 を 指名 して いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('指名する', {'が': ['鈴木さん'], 'を': ['代表']}, '状態/瞬間')
25	シンジ は ホテル を 見上げて いた 。	シンジ は 現在 ホテル を 見上げて いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('見上げる', {'が': ['シンジ'], 'を': ['ホテル']}, '状態/瞬間')
26	獣 は 首 を 掴んで いた 。	獣 は 現在 首 を 掴んで いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('掴む', {'が': ['獣'], 'を': ['首']}, '状態/瞬間')
27	太郎 は 優勝 を 挙げて いた 。	太郎 は 現在 優勝 を 挙げて いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('挙げる', {'が': ['太郎'], 'を': ['優勝']}, '状態/瞬間')
28	ビルゲイツ は 環境 保護 の 新たな 方針 を 打ち出して いた 。	ビルゲイツ は 現在 環境 保護 の 新たな 方針 を 打ち出して いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('打ち出す', {'が': ['ビルゲイツ'], 'を': ['環境保護の新たな方針']}, '状態/瞬間')
29	鈴木 は バジル を ベランダ に 植えて いた 。	鈴木 は 現在 バジル を ベランダ に 植えて いる 。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('植える', {'が': ['鈴木'], 'に': ['ベランダ'], 'を': ['バジル']}, '継続主体動作特定時点成立')
30	演劇 は 幕開け を 迎えて いた 。	演劇 は 現在 幕開け を 迎えて いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('迎える', {'が': ['演劇'], 'を': ['幕開け']}, '状態/瞬間')
31	私 は 手紙 を 皆さん に 差し上げて いた 。	私 は 現在 手紙 を 皆さん に 差し上げて いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('差し上げる', {'が': ['私'], 'に': ['皆さん'], 'を': ['手紙']}, '状態/瞬間')
32	笑顔 は 咲いて いた 。	笑顔 は 現在 咲いて いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('咲く', {'が': ['笑顔', '友達', '花束']}, '状態/瞬間')
33	山田 さん は 小説 を 更新 して いた 。	山田 さん は 現在 小説 を 更新 して いる 。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('更新する', {'が': ['山田さん'], 'を': ['小説']}, '継続主体動作特定時点成立')
34	太郎 は 坂 を 上って いた 。	太郎 は 現在 坂 を 上って いる 。	neutral	2	None	None	現在（過去形）	継続主体動作特定時点成立	('上る', {'が': ['太郎'], 'を': ['坂']}, '継続主体動作特定時点成立')
35	学生 は 修了 証 を 受け取って いた 。	学生 は 現在 修了 証 を 受け取って いる 。	neutral	2	None	None	現在（過去形）	状態/瞬間	('受け取る', {'が': ['学生'], 'を': ['修了証']}, '状態/瞬間')
